order,file_path,thumbnail,width,height
1,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/684,740,1229,2470/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/684,740,1229,2470/pct:3.125/0/default.jpg",1229,2470
2,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/1944,734,1348,2502/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/1944,734,1348,2502/pct:3.125/0/default.jpg",1348,2502
3,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/665,665,1248,2533/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/665,665,1248,2533/pct:3.125/0/default.jpg",1248,2533
4,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/665,665,1248,2533/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/665,665,1248,2533/pct:3.125/0/default.jpg",1248,2533
5,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/640,684,1279,2558/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/640,684,1279,2558/pct:3.125/0/default.jpg",1279,2558
6,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/1944,721,1348,2489/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/1944,721,1348,2489/pct:3.125/0/default.jpg",1348,2489
7,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/1944,721,1348,2489/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/1944,721,1348,2489/pct:3.125/0/default.jpg",1348,2489
8,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/3298,715,1336,2508/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/3298,715,1336,2508/pct:3.125/0/default.jpg",1336,2508
9,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/627,696,1304,2508/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0172/627,696,1304,2508/pct:3.125/0/default.jpg",1304,2508
10,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3344,835,1269,767/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3344,835,1269,767/pct:3.125/0/default.jpg",1269,767
11,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3351,1601,1249,516/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3351,1601,1249,516/pct:3.125/0/default.jpg",1249,516
12,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3356,2115,1221,76/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3356,2115,1221,76/pct:3.125/0/default.jpg",1221,76
13,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3360,2183,1217,120/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3360,2183,1217,120/pct:3.125/0/default.jpg",1217,120
14,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3340,2813,1229,288/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3340,2813,1229,288/pct:3.125/0/default.jpg",1229,288
15,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3348,3101,1197,108/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3348,3101,1197,108/pct:3.125/0/default.jpg",1197,108
16,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3348,3212,1201,192/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/3348,3212,1201,192/pct:3.125/0/default.jpg",1201,192
17,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/5003,1612,1209,196/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/5003,1612,1209,196/pct:3.125/0/default.jpg",1209,196
18,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/5007,1808,1201,268/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/5007,1808,1201,268/pct:3.125/0/default.jpg",1201,268
19,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/5011,2362,1209,212/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0173/5011,2362,1209,212/pct:3.125/0/default.jpg",1209,212
20,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/3324,1866,1299,683/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/3324,1866,1299,683/pct:3.125/0/default.jpg",1299,683
21,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/4935,2285,1224,94/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/4935,2285,1224,94/pct:3.125/0/default.jpg",1224,94
22,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/4966,2366,1197,157/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/4966,2366,1197,157/pct:3.125/0/default.jpg",1197,157
23,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/3337,2736,1246,108/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/3337,2736,1246,108/pct:3.125/0/default.jpg",1246,108
24,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/3350,1049,1237,666/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0258/3350,1049,1237,666/pct:3.125/0/default.jpg",1237,666
25,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/1986,1574,1309,130/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/1986,1574,1309,130/pct:3.125/0/default.jpg",1309,130
26,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/2003,1811,1264,192/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/2003,1811,1264,192/pct:3.125/0/default.jpg",1264,192
27,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/3364,2491,1237,68/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/3364,2491,1237,68/pct:3.125/0/default.jpg",1237,68
28,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/3373,2061,1192,139/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/3373,2061,1192,139/pct:3.125/0/default.jpg",1192,139
29,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/2061,1317,1201,139/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/2061,1317,1201,139/pct:3.125/0/default.jpg",1201,139
30,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/7692,1541,1237,126/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/7692,1541,1237,126/pct:3.125/0/default.jpg",1237,126
31,"https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/7674,2141,1219,112/pct:100/0/default.jpg","https://tile.loc.gov/image-services/iiif/service:gdc:gdcustel:us:te:le:di:re:c0:12:16:usteledirec01216:usteledirec01216_0145/7674,2141,1219,112/pct:3.125/0/default.jpg",1219,112
